"SEASON","PTS_home","FG_PCT_home","FT_PCT_home","FG3_PCT_home","AST_home","REB_home","PTS_away","FG_PCT_away","FT_PCT_away","FG3_PCT_away","AST_away","REB_away","DEF.RTG.x","DREB.x","DREB..x","STL.x","BLK.x","OPP.PTS.OFF.TOV.x","OPP.PTS.2ND.CHANCE.x","OPP.PTS.FB.x","OPP.PTS.PAINT.x","DEF.RTG.y","DREB.y","DREB..y","STL.y","BLK.y","OPP.PTS.OFF.TOV.y","OPP.PTS.2ND.CHANCE.y","OPP.PTS.FB.y","OPP.PTS.PAINT.y"
2015,89,0.386,0.769,0.366,22,39,93,0.402,0.84,0.24,17,48,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7
2015,115,0.519,0.781,0.37,24,45,101,0.402,0.69,0.385,19,35,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6
2015,97,0.364,0.731,0.326,18,43,112,0.53,0.609,0.417,15,41,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7
2015,97,0.469,0.577,0.24,15,40,108,0.407,0.806,0.472,23,43,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6
2015,120,0.527,0.706,0.48,23,52,90,0.421,0.654,0.273,21,32,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6
2015,110,0.543,0.7,0.455,26,46,77,0.354,0.667,0.217,15,34,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7
2015,104,0.494,0.9,0.333,29,41,89,0.381,0.9,0.333,17,47,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7
2015,96,0.435,0.625,0.459,20,46,88,0.382,0.765,0.259,20,47,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,104.6,34.7,73,7.3,5.5,16.5,12.8,12.5,42.8
2015,101,0.422,0.688,0.13,16,49,108,0.409,0.625,0.467,23,44,104.6,34.7,73,7.3,5.5,16.5,12.8,12.5,42.8,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6
2015,87,0.418,0.765,0.32,10,33,113,0.541,0.762,0.548,22,38,107.1,30.8,68.9,7.5,4.4,15,14.1,12.4,43.7,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7
2015,120,0.471,0.912,0.375,25,45,111,0.429,0.833,0.433,23,45,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6,104.6,34.7,73,7.3,5.5,16.5,12.8,12.5,42.8
2015,116,0.571,0.75,0.476,23,48,78,0.391,0.6,0.176,19,27,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7,107.1,30.8,68.9,7.5,4.4,15,14.1,12.4,43.7
2015,118,0.433,0.775,0.346,23,56,94,0.413,0.655,0.3,15,40,104.6,34.7,73,7.3,5.5,16.5,12.8,12.5,42.8,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6
