TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT"
Wizards,82,46,36,48.7,102.4,34.2,72.6,7.3,4.6,16.3,12.6,11.7,38.3
Jazz,82,38,44,48.1,104.1,31.9,71.5,7.6,6,17.4,12.5,12.6,39.5
Raptors,82,49,33,48.4,107.1,30.8,68.9,7.5,4.4,15,14.1,12.4,43.7
Spurs,82,55,27,48.7,101.4,33.8,73,8,5.4,15.1,11.9,14.1,42.5
Kings,82,29,53,48.4,108.2,33.3,71.5,6.7,4,18.6,13.6,16.8,43.9
Trail Blazers,82,51,31,48.4,102.8,35.1,72.8,6.4,4.5,15.1,13.8,13.3,43.1
Suns,82,39,43,48.5,105.3,32.2,69.8,8.5,4.7,17.2,14.4,15.2,45.3
76ers,82,18,64,48.3,103.9,30.9,68.6,9.6,5.9,20.6,14,14.6,41.7
Magic,82,25,57,48.2,106.8,31.8,71.6,7.9,3.8,16.9,11.7,12.3,41
Thunder,82,45,37,48.4,104.6,34.7,73,7.3,5.5,16.5,12.8,12.5,42.8
Knicks,82,17,65,48.4,109,29.8,69.1,7,4.7,17.1,12.5,12.3,41.1
Pelicans,82,45,37,48.2,106.3,32,71.2,6.7,6.2,14.8,12.9,13.7,46.5
Timberwolves,82,16,66,48.3,110.9,29.3,68.2,8.1,4,17.4,14.9,14.3,48
Bucks,82,41,41,48.6,101.4,31.4,68.6,9.6,4.9,16.8,13.3,10.7,39.8
Heat,82,37,45,48.1,106.1,30,68.7,7.8,4.5,16.9,13.3,11.4,41
Grizzlies,82,55,27,48.5,101.2,32.1,71.6,8.5,4.2,14.1,11.6,13.4,39
Lakers,82,21,61,48.6,109.4,32.3,72,7,4.5,15.9,12.5,15.1,45.1
Clippers,82,56,26,48.1,104.7,33.1,71.6,7.8,5,14.9,12.8,12.3,38.8
Pacers,82,38,44,48.4,102.7,34.4,73.5,6.2,4.6,15.5,11.8,13,38.3
Rockets,82,56,26,48.3,102.6,32,68.6,9.5,5,18.3,14,15.3,44.1
Warriors,82,67,15,48.1,100.4,34.3,70.3,9.3,6,15.2,14.2,13.9,41.6
Pistons,82,32,50,48.4,105.4,32.1,71.2,7.6,4.7,15.8,13.5,11.3,43
Nuggets,82,30,52,48.5,107.1,32.4,70,7.8,4.5,16.4,14.1,13.2,42.9
Mavericks,82,50,32,48.5,104.9,31.8,68.1,8.1,4.5,15.2,14,15.9,40.9
Cavaliers,82,53,29,48.2,105.3,31.9,71.1,7.4,4.1,16.2,12.4,11.8,42.7
Bulls,82,50,32,48.5,103.3,34,70.9,6.3,5.8,15.3,13.2,13,40.8
Hornets,82,33,49,48.5,103,34.1,74.6,6.1,5.5,12.8,12.6,11,38.5
Nets,82,38,44,48.6,106.3,32,70.1,7,4.1,15.6,14,13.8,43.6
Celtics,82,40,42,48.5,103.5,32.7,71,8.2,3.6,16.2,13.5,10.9,44.6
Hawks,82,60,22,48.1,102.3,31.8,69.7,9.1,4.6,15.7,14.2,11.2,39.4
