,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT"
1,Bucks,82,60,22,48.2,104.9,40.4,75.7,7.5,5.9,14.6,12.1,11,42.2
2,Raptors,82,58,24,48.5,106.8,35.6,72.6,8.3,5.3,15.9,12.9,13.5,47.5
3,Warriors,82,57,25,48.3,108.6,36.5,72.7,7.6,6.4,17.4,13.8,15.1,47.1
4,Nuggets,82,54,28,48.1,108.1,34.5,74.4,7.7,4.4,15,12.1,12.2,48.9
5,Rockets,82,53,29,48.4,110.1,31.9,70,8.5,4.9,16.3,13.7,13.8,51.8
5,Trail Blazers,82,53,29,48.4,109.5,36.2,73.9,6.7,5,15.3,13.7,14.1,47.8
7,76ers,82,51,31,48.3,109,36.9,74.1,7.4,5.3,17.3,12.3,14.7,51.2
8,Jazz,82,50,32,48.2,105.3,36.4,75.9,8.1,5.9,16.9,11.2,11.4,47.7
9,Celtics,82,49,33,48.2,107,34.7,72.8,8.6,5.3,14.8,13.5,13.2,45.9
9,Thunder,82,49,33,48.4,106.5,35.5,73.8,9.3,5.2,16,12.5,12.3,48.4
11,Pacers,82,48,34,48.1,106,33.7,72.2,8.7,4.9,14.9,13.3,14,44.8
11,Clippers,82,48,34,48.4,110.4,35.8,72.2,6.8,4.7,17.7,13.8,14.8,51.1
11,Spurs,82,48,34,48.3,110.5,35.5,74.4,6.1,4.7,15,12.6,14.1,46.6
14,Nets,82,42,40,48.7,109,35.6,72,6.6,4.1,17.3,14.4,11.8,51.2
14,Magic,82,42,40,48.2,107.6,35.4,75.4,6.6,5.4,14.7,10.9,12.7,47.2
16,Pistons,82,41,41,48.4,108.7,33.6,74.5,6.9,4,16,11.3,11.9,49.9
17,Hornets,82,39,43,48.4,112,33.9,73.1,7.2,4.9,13.7,13.4,13.3,49
17,Heat,82,39,43,48.1,107.1,35.1,73.1,7.6,5.5,17.1,13.7,12.5,42.3
17,Kings,82,39,43,48.1,110.8,34.4,71.3,8.3,4.4,16.4,14.4,14.2,51.2
20,Lakers,82,37,45,48.2,108.9,36.4,72.5,7.5,5.4,18.5,14,15.9,50.3
21,Timberwolves,82,36,46,48.4,112.2,33.5,70.9,8.3,5,15.1,14.8,13.6,48.9
22,Mavericks,82,33,49,48.2,110.1,35.2,73.4,6.5,4.3,15.6,13,16.7,47.7
22,Grizzlies,82,33,49,48.5,108,33,72.4,8.3,5.5,16.6,11.6,16.3,42.7
22,Pelicans,82,33,49,48.2,112,36.2,72.9,7.4,5.4,18,13.7,15.7,51.6
25,Wizards,82,32,50,48.6,112.9,32.7,70.6,8.3,4.6,17,14.1,14,52.1
26,Hawks,82,29,53,48.4,113.1,34.5,71.8,8.2,5.1,21.1,14.6,16.5,49.3
27,Bulls,82,22,60,48.5,112.8,34.1,72.7,7.4,4.3,16.6,13.4,13,49.1
28,Cavaliers,82,19,63,48.2,116.8,31.9,73.2,6.5,2.4,16.8,12.7,14,50
28,Suns,82,19,63,48.5,114.2,31.3,68.3,9,5.1,19.5,15.5,15.8,53
30,Knicks,82,17,65,48.2,112.9,34.3,71.7,6.8,5.1,16.4,14.1,11.7,50.6
